"Ad Set Name",Gender,Reach,Impressions,Frequency,"Result Type",Results,"Cost per Result","Amount Spent (EUR)","CPM (Cost per 1,000 Impressions)","Link Clicks","CPC (Cost per Link Click)","CTR (Link Click-Through Rate)","Reporting Starts","Reporting Ends"
"DE - Germany - Hairdresser",unknown,16,16,1,,,,0.061184210526316,3.82401316,,,,2020-08-01,2020-08-26
"DE - Germany - Hairdresser",female,1845,1910,1.0352303523035,"Link Clicks",78,0.086416160593792,6.7404605263158,3.52903692,78,0.08641616,4.0837696335079,2020-08-01,2020-08-26
"DE - Germany - Hairdresser",male,1198,1280,1.0684474123539,"Link Clicks",77,0.052576042378674,4.0483552631579,3.16277755,77,0.05257604,6.015625,2020-08-01,2020-08-26
"DE - Germany - Legal Counsel",female,1984,2065,1.0408266129032,"Link Clicks",11,0.4891754756871,5.3809302325581,2.60577735,11,0.48917548,0.53268765133172,2020-08-01,2020-08-26
"DE - Germany - Legal Counsel",male,1928,2038,1.0570539419087,"Link Clicks",6,0.77306370070779,4.6383822042467,2.27594809,6,0.7730637,0.29440628066732,2020-08-01,2020-08-26
"DE - Germany - Legal Counsel",unknown,16,17,1.0625,,,,0.040687563195147,2.39338607,,,,2020-08-01,2020-08-26
"DE - Germany - Machine Learning",unknown,14,16,1.1428571428571,,,,0.050481231953802,3.155077,,,,2020-08-01,2020-08-26
"DE - Germany - Machine Learning",female,1374,1433,1.0429403202329,"Link Clicks",23,0.26162447169101,6.0173628488932,4.19913667,23,0.26162447,1.6050244242847,2020-08-01,2020-08-26
"DE - Germany - Machine Learning",male,959,1004,1.0469238790407,"Link Clicks",12,0.36851299326275,4.422155919153,4.40453777,12,0.36851299,1.195219123506,2020-08-01,2020-08-26
"DE - Germany - Nurse",unknown,12,14,1.1666666666667,,,,0.051151631477927,3.65368796,,,,2020-08-01,2020-08-26
"DE - Germany - Nurse",female,2796,2868,1.0257510729614,"Link Clicks",53,0.1642642958027,8.7060076775432,3.03556753,53,0.1642643,1.8479776847978,2020-08-01,2020-08-26
"DE - Germany - Nurse",male,697,719,1.0315638450502,"Link Clicks",10,0.19028406909789,1.9028406909789,2.64651,10,0.19028407,1.3908205841446,2020-08-01,2020-08-26
"DE - Germany - Preschool teacher",female,4134,4247,1.0273343009192,"Link Clicks",134,0.077937684847651,10.443649769585,2.45906517,134,0.07793768,3.1551683541323,2020-08-01,2020-08-26
"DE - Germany - Preschool teacher",male,188,191,1.0159574468085,"Link Clicks",2,0.23781566820277,0.47563133640553,2.49021642,2,0.23781567,1.0471204188482,2020-08-01,2020-08-26
"DE - Germany - Preschool teacher",unknown,24,25,1.0416666666667,"Link Clicks",1,0.060718894009217,0.060718894009217,2.42875576,1,0.06071889,4,2020-08-01,2020-08-26
"DE - Germany - Truck Driver",female,252,271,1.0753968253968,"Link Clicks",30,0.026943919344675,0.80831758034026,2.9827217,30,0.02694392,11.070110701107,2020-08-01,2020-08-26
"DE - Germany - Truck Driver",male,3082,3190,1.0350421804023,"Link Clicks",188,0.052400906970197,9.851370510397,3.08820392,188,0.05240091,5.8934169278997,2020-08-01,2020-08-26
"DE - Germany - Truck Driver",unknown,10,10,1,,,,0.03031190926276,3.03119093,,,,2020-08-01,2020-08-26
