"Ad Set Name",Gender,Reach,Impressions,Frequency,"Result Type",Results,"Cost per Result","Amount Spent (EUR)","CPM (Cost per 1,000 Impressions)","Link Clicks","CPC (Cost per Link Click)","CTR (Link Click-Through Rate)","Reporting Starts","Reporting Ends"
"DE - Germany - Hairdresser",male,2481,2716,1.0947198710198,"Link Clicks",128,0.062957983497394,8.0586218876665,2.96709201,128,0.06295798,4.7128129602356,2020-08-01,2020-08-26
"DE - Germany - Hairdresser",unknown,24,24,1,,,,0.090208453966416,3.75868558,,,,2020-08-01,2020-08-26
"DE - Germany - Hairdresser",female,2595,2699,1.0400770712909,"Link Clicks",100,0.091611696583671,9.1611696583671,3.39428294,100,0.0916117,3.7050759540571,2020-08-01,2020-08-26
"DE - Germany - Legal Counsel",female,3422,3720,1.0870835768556,"Link Clicks",18,0.50422104644327,9.0759788359788,2.43977926,18,0.50422105,0.48387096774194,2020-08-01,2020-08-26
"DE - Germany - Legal Counsel",male,3597,3819,1.0617180984153,"Link Clicks",8,0.98548500881834,7.8838800705467,2.06438336,8,0.98548501,0.20947892118356,2020-08-01,2020-08-26
"DE - Germany - Legal Counsel",unknown,44,44,1,,,,0.080141093474427,1.82138849,,,,2020-08-01,2020-08-26
"DE - Germany - Machine Learning",female,2356,2513,1.0666383701188,"Link Clicks",34,0.29157484319376,9.9135446685879,3.94490436,34,0.29157484,1.3529645841624,2020-08-01,2020-08-26
"DE - Germany - Machine Learning",male,1759,1900,1.080159181353,"Link Clicks",19,0.37827999393296,7.1873198847262,3.78279994,19,0.37827999,1,2020-08-01,2020-08-26
"DE - Germany - Machine Learning",unknown,24,29,1.2083333333333,,,,0.099135446685879,3.41846368,,,,2020-08-01,2020-08-26
"DE - Germany - Nurse",unknown,16,26,1.625,,,,0.10980968858131,4.22344956,,,,2020-08-01,2020-08-26
"DE - Germany - Nurse",female,4343,4649,1.0704582086116,"Link Clicks",80,0.17095371972318,13.676297577855,2.9417719,80,0.17095372,1.72080017208,2020-08-01,2020-08-26
"DE - Germany - Nurse",male,1292,1329,1.0286377708978,"Link Clicks",17,0.20728780785671,3.523892733564,2.65153705,17,0.20728781,1.2791572610986,2020-08-01,2020-08-26
"DE - Germany - Preschool teacher",female,6396,6745,1.0545653533458,"Link Clicks",216,0.077081311196254,16.649563218391,2.46843043,216,0.07708131,3.2023721275019,2020-08-01,2020-08-26
"DE - Germany - Preschool teacher",male,258,264,1.0232558139535,"Link Clicks",5,0.12407126436782,0.62035632183908,2.34983455,5,0.12407126,1.8939393939394,2020-08-01,2020-08-26
"DE - Germany - Preschool teacher",unknown,41,41,1,"Link Clicks",2,0.070040229885057,0.14008045977011,3.41659658,2,0.07004023,4.8780487804878,2020-08-01,2020-08-26
"DE - Germany - Truck Driver",male,4808,5197,1.0809068219634,"Link Clicks",324,0.049806512680585,16.137310108509,3.10512028,324,0.04980651,6.2343659803733,2020-08-01,2020-08-26
"DE - Germany - Truck Driver",female,384,434,1.1302083333333,"Link Clicks",40,0.030822958309537,1.2329183323815,2.84082565,40,0.03082296,9.2165898617512,2020-08-01,2020-08-26
"DE - Germany - Truck Driver",unknown,10,15,1.5,,,,0.039771559109081,2.65143727,,,,2020-08-01,2020-08-26
