"Campaign Name","Ad Set Name",Gender,"Delivery Status","Delivery Level",Reach,Impressions,Frequency,"Result Type",Results,"Amount Spent (EUR)","Cost per Result",Starts,Ends,"Reporting Starts","Reporting Ends"
"Automated Discrimination - PL",Hairdresser,female,active,adset,585,585,1,"Link Clicks",36,0.74130434782609,0.020591787439614,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - PL",Hairdresser,unknown,active,adset,2,2,1,,,0,,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - PL",Hairdresser,male,active,adset,343,343,1,"Link Clicks",10,0.35869565217391,0.035869565217391,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - PL","Legal Counsel",male,active,adset,359,359,1,"Link Clicks",4,0.29885057471264,0.074712643678161,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - PL","Legal Counsel",female,active,adset,655,655,1,"Link Clicks",19,0.74114942528736,0.039007864488808,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - PL","Legal Counsel",unknown,active,adset,2,2,1,,,0,,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - PL","Machine Learning",male,active,adset,412,450,1.0922330097087,"Link Clicks",10,0.55533333333333,0.055533333333333,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - PL","Machine Learning",female,active,adset,290,313,1.0793103448276,"Link Clicks",15,0.40288888888889,0.026859259259259,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - PL","Machine Learning",unknown,active,adset,4,4,1,,,0.021777777777778,,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - PL",Nurse,female,active,adset,748,748,1,"Link Clicks",34,0.91544444444444,0.026924836601307,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - PL",Nurse,male,active,adset,146,146,1,"Link Clicks",2,0.15455555555556,0.077277777777778,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - PL","Preschool teacher",female,active,adset,985,1067,1.0832487309645,"Link Clicks",137,1.047619047619,0.0076468543621828,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - PL","Preschool teacher",male,active,adset,45,54,1.2,"Link Clicks",2,0.041904761904762,0.020952380952381,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - PL","Preschool teacher",unknown,active,adset,2,2,1,,,0.01047619047619,,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - PL","Truck Driver",unknown,active,adset,1,1,1,,,0,,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - PL","Truck Driver",female,active,adset,36,36,1,"Link Clicks",6,0.023956043956044,0.003992673992674,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - PL","Truck Driver",male,active,adset,887,887,1,"Link Clicks",79,1.066043956044,0.013494227291696,2020-08-31,Ongoing,2020-09-01,2020-09-02
