"Campaign Name","Ad Set Name",Gender,"Delivery Status","Delivery Level",Reach,Impressions,Frequency,"Result Type",Results,"Amount Spent (EUR)","Cost per Result",Starts,Ends,"Reporting Starts","Reporting Ends"
"Automated Discrimination - CH - incl. FR","Truck Driver",male,active,adset,655,656,1.0015267175573,"Link Clicks",16,1.9808780487805,0.12380487804878,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Truck Driver",unknown,active,adset,7,7,1,,,0.031609756097561,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Truck Driver",female,active,adset,52,52,1,"Link Clicks",1,0.14751219512195,0.14751219512195,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Preschool teacher",unknown,active,adset,9,11,1.2222222222222,,,0.010740740740741,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Preschool teacher",male,active,adset,52,52,1,"Link Clicks",1,0.11814814814815,0.11814814814815,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Preschool teacher",female,active,adset,555,587,1.0576576576577,"Link Clicks",8,1.9011111111111,0.23763888888889,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR",Nurse,female,active,adset,442,442,1,"Link Clicks",9,1.5340425531915,0.17044917257683,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR",Nurse,male,active,adset,224,224,1,"Link Clicks",2,0.50404255319149,0.25202127659574,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR",Nurse,unknown,active,adset,6,6,1,,,0.021914893617021,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Machine Learning",unknown,active,adset,10,13,1.3,,,0.031034482758621,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Machine Learning",male,active,adset,528,545,1.032196969697,"Link Clicks",8,1.2620689655172,0.15775862068966,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Machine Learning",female,active,adset,301,320,1.063122923588,"Link Clicks",4,0.80689655172414,0.20172413793103,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Legal Counsel",male,active,adset,393,398,1.0127226463104,"Link Clicks",4,1.0629473684211,0.26573684210526,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Legal Counsel",female,active,adset,309,317,1.0258899676375,"Link Clicks",2,0.90663157894737,0.45331578947368,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Legal Counsel",unknown,active,adset,3,5,1.6666666666667,,,0.010421052631579,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR",Hairdresser,unknown,active,adset,8,8,1,"Link Clicks",1,0.021194029850746,0.021194029850746,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR",Hairdresser,male,active,adset,337,339,1.0059347181009,"Link Clicks",7,0.90074626865672,0.12867803837953,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR",Hairdresser,female,active,adset,364,366,1.0054945054945,"Link Clicks",10,1.2080597014925,0.12080597014925,,,2020-09-01,2020-09-04
