"Campaign Name","Ad Set Name",Region,"Delivery Status","Delivery Level",Reach,Impressions,Frequency,"Result Type",Results,"Amount Spent (EUR)","Cost per Result",Starts,Ends,"Reporting Starts","Reporting Ends"
"Automated Discrimination - CH - incl. FR","Truck Driver",Rhône-Alpes,active,adset,162,190,1.1728395061728,"Link Clicks",3,0.56756756756757,0.18918918918919,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Truck Driver","Canton of Geneva",active,adset,5,5,1,,,0.011351351351351,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Truck Driver",Jura,active,adset,2,2,1,"Link Clicks",1,0,0,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Truck Driver",Neuchâtel,active,adset,3,3,1,,,0.011351351351351,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Truck Driver",Vaud,active,adset,12,15,1.25,,,0.022702702702703,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Truck Driver",Valais,active,adset,5,5,1,,,0.022702702702703,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Truck Driver",Bern,active,adset,8,10,1.25,"Link Clicks",1,0.022702702702703,0.022702702702703,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Truck Driver",Franche-Comté,active,adset,8,10,1.25,,,0.022702702702703,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Truck Driver",Fribourg,active,adset,11,13,1.1818181818182,,,0.045405405405405,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Preschool teacher",Jura,active,adset,3,3,1,,,0,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Preschool teacher",Rhône-Alpes,active,adset,143,165,1.1538461538462,,,0.44852459016393,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Preschool teacher",Vaud,active,adset,13,15,1.1538461538462,,,0.023606557377049,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Preschool teacher",Valais,active,adset,10,12,1.2,,,0.035409836065574,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Preschool teacher",Franche-Comté,active,adset,8,10,1.25,,,0.011803278688525,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Preschool teacher","Canton of Geneva",active,adset,8,10,1.25,,,0.059016393442623,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Preschool teacher",Fribourg,active,adset,8,9,1.125,"Link Clicks",1,0.023606557377049,0.023606557377049,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Preschool teacher",Bern,active,adset,7,7,1,,,0,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Preschool teacher",Neuchâtel,active,adset,6,6,1,,,0.035409836065574,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR",Nurse,Neuchâtel,active,adset,7,8,1.1428571428571,,,0,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR",Nurse,Jura,active,adset,3,3,1,,,0,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR",Nurse,Franche-Comté,active,adset,3,4,1.3333333333333,,,0.026037735849057,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR",Nurse,Valais,active,adset,8,6,0.75,,,0.039056603773585,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR",Nurse,"Canton of Geneva",active,adset,12,10,0.83333333333333,"Link Clicks",1,0.065094339622642,0.065094339622642,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR",Nurse,Bern,active,adset,15,13,0.86666666666667,,,0.052075471698113,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR",Nurse,Fribourg,active,adset,12,13,1.0833333333333,,,0.039056603773585,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR",Nurse,Vaud,active,adset,17,14,0.82352941176471,,,0.10415094339623,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR",Nurse,Rhône-Alpes,active,adset,147,152,1.0340136054422,"Link Clicks",1,0.48169811320755,0.48169811320755,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Machine Learning",Bern,active,adset,4,4,1,,,0.014545454545455,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Machine Learning",Neuchâtel,active,adset,1,1,1,,,0,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Machine Learning",Jura,active,adset,1,1,1,,,0.014545454545455,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Machine Learning",Fribourg,active,adset,1,3,3,,,0.014545454545455,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Machine Learning",Rhône-Alpes,active,adset,221,219,0.99095022624434,"Link Clicks",1,0.48,0.48,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Machine Learning",Valais,active,adset,4,7,1.75,,,0.029090909090909,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Machine Learning","Canton of Geneva",active,adset,12,13,1.0833333333333,,,0.072727272727273,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Machine Learning",Franche-Comté,active,adset,10,13,1.3,,,0.043636363636364,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Machine Learning",Vaud,active,adset,9,8,0.88888888888889,,,0.058181818181818,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Legal Counsel",Rhône-Alpes,active,adset,164,159,0.96951219512195,,,0.4809756097561,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Legal Counsel",Franche-Comté,active,adset,8,9,1.125,,,0.016585365853659,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Legal Counsel",Fribourg,active,adset,6,8,1.3333333333333,,,0.033170731707317,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Legal Counsel",Neuchâtel,active,adset,8,10,1.25,,,0.049756097560976,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Legal Counsel",Valais,active,adset,9,10,1.1111111111111,,,0.066341463414634,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Legal Counsel",Bern,active,adset,13,14,1.0769230769231,,,0.016585365853659,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Legal Counsel","Canton of Geneva",active,adset,22,16,0.72727272727273,,,0.11609756097561,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Legal Counsel",Vaud,active,adset,25,29,1.16,,,0.13268292682927,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Legal Counsel",Jura,active,adset,3,3,1,,,0.016585365853659,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR",Hairdresser,Rhône-Alpes,active,adset,151,169,1.1192052980132,"Link Clicks",4,0.43136363636364,0.10784090909091,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR",Hairdresser,Valais,active,adset,15,18,1.2,,,0.033181818181818,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR",Hairdresser,"Canton of Geneva",active,adset,12,14,1.1666666666667,"Link Clicks",1,0.05530303030303,0.05530303030303,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR",Hairdresser,Bern,active,adset,10,10,1,,,0.033181818181818,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR",Hairdresser,Fribourg,active,adset,4,4,1,,,0.022121212121212,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR",Hairdresser,Franche-Comté,active,adset,3,3,1,,,0,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR",Hairdresser,Jura,active,adset,2,2,1,,,0,,,,2020-09-01,2020-09-04
