"Campaign Name","Ad Set Name",Gender,"Delivery Status","Delivery Level",Reach,Impressions,Frequency,"Result Type",Results,"Amount Spent (EUR)","Cost per Result",Starts,Ends,"Reporting Starts","Reporting Ends"
"Automated Discrimination - DE","DE - Germany - Preschool teacher",female,not_delivering,adset,6456,6824,1.0570012391574,"Link Clicks",217,16.86,0.077695852534562,2020-08-26,2020-08-27,2020-08-26,2020-10-15
"Automated Discrimination - DE","DE - Germany - Truck Driver",male,not_delivering,adset,4864,5259,1.0812088815789,"Link Clicks",332,16.34,0.04921686746988,2020-08-26,2020-08-27,2020-08-26,2020-10-15
"Automated Discrimination - DE","DE - Germany - Nurse",female,not_delivering,adset,4420,4727,1.0694570135747,"Link Clicks",81,13.97,0.17246913580247,2020-08-26,2020-08-27,2020-08-26,2020-10-15
"Automated discrimination CH3",Camionneur·se,male,inactive,adset,1871,1906,1.0187065740246,"Link Clicks",38,12.3,0.32368421052632,2020-10-08,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - DE","DE - Germany - Machine Learning",female,not_delivering,adset,2400,2561,1.0670833333333,"Link Clicks",34,10.14,0.29823529411765,2020-08-26,2020-08-27,2020-08-26,2020-10-15
"Automated Discrimination - DE","DE - Germany - Legal Counsel",female,not_delivering,adset,3496,3787,1.08323798627,"Link Clicks",18,9.29,0.51611111111111,2020-08-26,2020-08-27,2020-08-26,2020-10-15
"Automated Discrimination - DE","DE - Germany - Hairdresser",female,not_delivering,adset,2616,2723,1.0409021406728,"Link Clicks",101,9.2,0.091089108910891,2020-08-26,2020-08-27,2020-08-26,2020-10-15
"Automated Discrimination - CH","Preschool teacher",female,not_delivering,adset,1584,1673,1.0561868686869,"Link Clicks",102,8.62,0.084509803921569,2020-08-31,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - DE","DE - Germany - Hairdresser",male,not_delivering,adset,2520,2767,1.0980158730159,"Link Clicks",128,8.22,0.06421875,2020-08-26,2020-08-27,2020-08-26,2020-10-15
"Automated Discrimination - DE","DE - Germany - Legal Counsel",male,not_delivering,adset,3646,3874,1.062534284147,"Link Clicks",8,8.01,1.00125,2020-08-26,2020-08-27,2020-08-26,2020-10-15
"Automated Discrimination - CH","Truck Driver",male,not_delivering,adset,1676,1763,1.0519093078759,"Link Clicks",101,7.5980573248408,0.075228290344958,2020-08-31,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - DE","DE - Germany - Machine Learning",male,not_delivering,adset,1795,1937,1.0791086350975,"Link Clicks",22,7.39,0.33590909090909,2020-08-26,2020-08-27,2020-08-26,2020-10-15
"Automated Discrimination - CH",Nurse,female,not_delivering,adset,1582,1643,1.0385587863464,"Link Clicks",36,6.94,0.19277777777778,2020-08-31,Ongoing,2020-08-26,2020-10-15
"Automated discrimination CH3","Éducateur·trice jeunes enfants",female,inactive,adset,1271,1282,1.0086546026751,"Link Clicks",64,6.25,0.09765625,2020-10-08,Ongoing,2020-08-26,2020-10-15
"Automated discrimination CH3",Camionneur·se,female,inactive,adset,874,883,1.0102974828375,"Link Clicks",11,6.25,0.56818181818182,2020-10-08,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - CH","Legal Counsel",female,not_delivering,adset,1172,1245,1.0622866894198,"Link Clicks",21,5.26,0.25047619047619,2020-08-31,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - PL","Preschool teacher",female,not_delivering,adset,5230,5263,1.006309751434,"Link Clicks",682,5,0.0073313782991202,2020-08-31,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - FR","Truck Driver",male,not_delivering,adset,2427,2460,1.0135970333745,"Link Clicks",192,4.75,0.024739583333333,2020-08-30,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - CH",Hairdresser,female,not_delivering,adset,868,924,1.0645161290323,"Link Clicks",40,4.74,0.1185,2020-08-31,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - FR","Preschool teacher",female,not_delivering,adset,1787,1826,1.0218242865137,"Link Clicks",135,4.66,0.034518518518519,2020-08-30,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - CH","Machine Learning",male,not_delivering,adset,824,925,1.122572815534,"Link Clicks",14,4.42,0.31571428571429,2020-08-31,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - FR",Nurse,female,not_delivering,adset,1900,1919,1.01,"Link Clicks",43,4.12,0.095813953488372,2020-08-30,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - ES","Preschool teacher",female,not_delivering,adset,3337,4091,1.2259514534013,"Link Clicks",38,3.99,0.105,2020-09-11,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - CH","Machine Learning",female,not_delivering,adset,625,676,1.0816,"Link Clicks",10,3.89,0.389,2020-08-31,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - PL","Truck Driver",male,not_delivering,adset,3370,3406,1.0106824925816,"Link Clicks",359,3.89,0.0108356545961,2020-08-31,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - PL",Nurse,female,not_delivering,adset,2813,2843,1.0106647707074,"Link Clicks",194,3.81,0.019639175257732,2020-08-31,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - FR - Trucks2","Truck Driver - baseline",male,not_delivering,adset,1885,1891,1.0031830238727,"Link Clicks",126,3.76,0.02984126984127,2020-09-02,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - FR - Trucks2","Truck Driver - image-lipstick",female,not_delivering,adset,1692,1707,1.008865248227,"Link Clicks",12,3.75,0.3125,2020-09-02,Ongoing,2020-08-26,2020-10-15
