"Ad Set Name",Gender,Reach,Impressions,Frequency,"Result Type",Results,"Cost per Result","Amount Spent (EUR)","CPM (Cost per 1,000 Impressions)","Link Clicks","CPC (Cost per Link Click)","CTR (Link Click-Through Rate)","Reporting Starts","Reporting Ends"
"DE - Germany - Hairdresser",unknown,22,22,1,,,,0.08005249343832,3.6387497,,,,2020-08-01,2020-08-26
"DE - Germany - Hairdresser",male,2110,2302,1.0909952606635,"Link Clicks",122,0.057824803149606,7.054625984252,3.06456385,122,0.0578248,5.2997393570808,2020-08-01,2020-08-26
"DE - Germany - Hairdresser",female,2277,2374,1.0425999121651,"Link Clicks",91,0.089179357388019,8.1153215223097,3.41841682,91,0.08917936,3.8331929233361,2020-08-01,2020-08-26
"DE - Germany - Legal Counsel",male,3252,3436,1.0565805658057,"Link Clicks",8,0.8874230641959,7.0993845135672,2.0661771,8,0.88742306,0.23282887077998,2020-08-01,2020-08-26
"DE - Germany - Legal Counsel",female,3056,3259,1.0664267015707,"Link Clicks",16,0.49690684976837,7.9505095962938,2.43955495,16,0.49690685,0.49094814360233,2020-08-01,2020-08-26
"DE - Germany - Legal Counsel",unknown,40,40,1,,,,0.080105890138981,2.00264725,,,,2020-08-01,2020-08-26
"DE - Germany - Machine Learning",unknown,23,27,1.1739130434783,,,,0.09,3.33333333,,,,2020-08-01,2020-08-26
"DE - Germany - Machine Learning",male,1586,1706,1.0756620428752,"Link Clicks",18,0.36111111111111,6.5,3.81008206,18,0.36111111,1.0550996483001,2020-08-01,2020-08-26
"DE - Germany - Machine Learning",female,2040,2160,1.0588235294118,"Link Clicks",30,0.28966666666667,8.69,4.02314815,30,0.28966667,1.3888888888889,2020-08-01,2020-08-26
"DE - Germany - Nurse",male,1150,1190,1.0347826086957,"Link Clicks",15,0.2068013029316,3.1020195439739,2.60673911,15,0.2068013,1.2605042016807,2020-08-01,2020-08-26
"DE - Germany - Nurse",female,3830,4074,1.0637075718016,"Link Clicks",74,0.16429615283035,12.157915309446,2.98426984,74,0.16429615,1.8163966617575,2020-08-01,2020-08-26
"DE - Germany - Nurse",unknown,16,23,1.4375,,,,0.1000651465798,4.35065855,,,,2020-08-01,2020-08-26
"DE - Germany - Preschool teacher",unknown,36,36,1,"Link Clicks",2,0.060314136125654,0.12062827225131,3.35078534,2,0.06031414,5.5555555555556,2020-08-01,2020-08-26
"DE - Germany - Preschool teacher",female,5770,5975,1.0355285961872,"Link Clicks",189,0.077599933516164,14.666387434555,2.45462551,189,0.07759993,3.163179916318,2020-08-01,2020-08-26
"DE - Germany - Preschool teacher",male,245,245,1,"Link Clicks",3,0.19099476439791,0.57298429319372,2.3387114,3,0.19099476,1.2244897959184,2020-08-01,2020-08-26
"DE - Germany - Truck Driver",unknown,13,13,1,,,,0.04002621231979,3.07893941,,,,2020-08-01,2020-08-26
"DE - Germany - Truck Driver",male,4303,4557,1.0590285847083,"Link Clicks",281,0.050424481000732,14.169279161206,3.10934368,281,0.05042448,6.166337502743,2020-08-01,2020-08-26
"DE - Germany - Truck Driver",female,336,373,1.110119047619,"Link Clicks",37,0.028667422337147,1.0606946264744,2.84368533,37,0.02866742,9.9195710455764,2020-08-01,2020-08-26
