"Campaign Name","Ad Set Name",Gender,"Delivery Status","Delivery Level",Reach,Impressions,Frequency,"Result Type",Results,"Amount Spent (EUR)","Cost per Result",Starts,Ends,"Reporting Starts","Reporting Ends"
"Automated Discrimination - CH",Hairdresser,female,active,adset,758,796,1.0501319261214,"Link Clicks",33,4.2083771929825,0.12752658160553,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Hairdresser,unknown,active,adset,5,6,1.2,,,0.040175438596491,,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Hairdresser,male,active,adset,521,553,1.0614203454894,"Link Clicks",29,2.6214473684211,0.090394736842105,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH","Legal Counsel",male,active,adset,647,682,1.0540958268934,"Link Clicks",9,2.3701142857143,0.26334603174603,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH","Legal Counsel",female,active,adset,1004,1062,1.0577689243028,"Link Clicks",19,4.6297571428571,0.24367142857143,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH","Legal Counsel",unknown,active,adset,12,12,1,,,0.030128571428571,,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH","Machine Learning",male,active,adset,726,807,1.1115702479339,"Link Clicks",14,3.9434770514604,0.28167693224717,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH","Machine Learning",female,active,adset,517,559,1.0812379110251,"Link Clicks",9,3.1667315716273,0.35185906351414,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH","Machine Learning",unknown,active,adset,15,17,1.1333333333333,,,0.049791376912378,,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Nurse,male,active,adset,309,331,1.0711974110032,"Link Clicks",5,1.1733524355301,0.23467048710602,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Nurse,female,active,adset,1271,1344,1.0574350904799,"Link Clicks",23,5.7865329512894,0.2515883891865,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH",Nurse,unknown,active,adset,8,8,1,,,0.040114613180516,,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH","Preschool teacher",female,active,adset,1401,1462,1.0435403283369,"Link Clicks",87,7.6602490660025,0.088048839839109,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH","Preschool teacher",male,active,adset,97,104,1.0721649484536,"Link Clicks",4,0.45424657534247,0.11356164383562,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH","Preschool teacher",unknown,active,adset,31,31,1,"Link Clicks",2,0.17550435865504,0.087752179327522,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH","Truck Driver",female,active,adset,317,318,1.0031545741325,"Link Clicks",12,1.4288681757656,0.11907234798047,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH","Truck Driver",unknown,active,adset,14,14,1,"Link Clicks",1,0.10279627163782,0.10279627163782,2020-08-31,Ongoing,2020-09-01,2020-09-02
"Automated Discrimination - CH","Truck Driver",male,active,adset,1389,1416,1.0194384449244,"Link Clicks",87,6.1883355525965,0.071130293708006,2020-08-31,Ongoing,2020-09-01,2020-09-02
