"Campaign Name","Ad Set Name",Region,"Delivery Status","Delivery Level",Reach,Impressions,Frequency,"Result Type",Results,"Amount Spent (EUR)","Cost per Result",Starts,Ends,"Reporting Starts","Reporting Ends"
"Automated Discrimination - CH - incl. FR","Truck Driver",Rhône-Alpes,active,adset,378,378,1,"Link Clicks",10,1.116,0.1116,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Truck Driver","Canton of Geneva",active,adset,9,9,1,,,0.031,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Truck Driver",Neuchâtel,active,adset,4,4,1,,,0.010333333333333,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Truck Driver",Jura,active,adset,4,4,1,"Link Clicks",1,0.020666666666667,0.020666666666667,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Truck Driver",Vaud,active,adset,30,30,1,,,0.10333333333333,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Truck Driver",Franche-Comté,active,adset,16,16,1,,,0.031,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Truck Driver",Bern,active,adset,17,17,1,"Link Clicks",1,0.031,0.031,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Truck Driver",Valais,active,adset,17,17,1,,,0.072333333333333,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Truck Driver",Fribourg,active,adset,25,25,1,"Link Clicks",2,0.13433333333333,0.067166666666667,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Preschool teacher",Jura,active,adset,5,5,1,,,0,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Preschool teacher",Rhône-Alpes,active,adset,289,290,1.0034602076125,,,0.84345864661654,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Preschool teacher",Vaud,active,adset,35,35,1,,,0.10676691729323,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Preschool teacher",Valais,active,adset,25,25,1,"Link Clicks",2,0.1387969924812,0.069398496240602,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Preschool teacher","Canton of Geneva",active,adset,25,25,1,,,0.11744360902256,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Preschool teacher",Fribourg,active,adset,21,21,1,"Link Clicks",3,0.053383458646617,0.017794486215539,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Preschool teacher",Bern,active,adset,19,19,1,,,0.06406015037594,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Preschool teacher",Franche-Comté,active,adset,18,18,1,,,0.042706766917293,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Preschool teacher",Neuchâtel,active,adset,15,15,1,,,0.053383458646617,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR",Nurse,Neuchâtel,active,adset,16,17,1.0625,"Link Clicks",1,0.020714285714286,0.020714285714286,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR",Nurse,Jura,active,adset,5,6,1.2,,,0.020714285714286,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR",Nurse,Franche-Comté,active,adset,14,15,1.0714285714286,,,0.031071428571429,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR",Nurse,Valais,active,adset,22,24,1.0909090909091,,,0.093214285714286,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR",Nurse,Fribourg,active,adset,26,25,0.96153846153846,"Link Clicks",1,0.11392857142857,0.11392857142857,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR",Nurse,"Canton of Geneva",active,adset,35,33,0.94285714285714,"Link Clicks",3,0.16571428571429,0.055238095238095,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR",Nurse,Bern,active,adset,35,35,1,,,0.145,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR",Nurse,Vaud,active,adset,50,50,1,,,0.20714285714286,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR",Nurse,Rhône-Alpes,active,adset,276,274,0.99275362318841,"Link Clicks",3,0.69392857142857,0.23130952380952,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Machine Learning",Valais,active,adset,13,13,1,"Link Clicks",1,0.054814814814815,0.054814814814815,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Machine Learning",Jura,active,adset,4,4,1,,,0.032888888888889,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Machine Learning",Neuchâtel,active,adset,7,7,1,,,0.010962962962963,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Machine Learning",Fribourg,active,adset,9,10,1.1111111111111,,,0.054814814814815,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Machine Learning",Rhône-Alpes,active,adset,496,520,1.0483870967742,"Link Clicks",9,1.0414814814815,0.11572016460905,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Machine Learning","Canton of Geneva",active,adset,16,15,0.9375,,,0.087703703703704,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Machine Learning",Bern,active,adset,17,18,1.0588235294118,,,0.087703703703704,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Machine Learning",Franche-Comté,active,adset,28,30,1.0714285714286,,,0.076740740740741,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Machine Learning",Vaud,active,adset,15,15,1,,,0.098666666666667,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Legal Counsel",Rhône-Alpes,active,adset,304,304,1,"Link Clicks",1,0.68552845528455,0.68552845528455,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Legal Counsel",Franche-Comté,active,adset,18,18,1,,,0.033170731707317,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Legal Counsel",Bern,active,adset,21,22,1.047619047619,,,0.022113821138211,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Legal Counsel",Neuchâtel,active,adset,21,20,0.95238095238095,,,0.066341463414634,,,,2020-09-01,2020-09-04
"Automated Discrimination - CH - incl. FR","Legal Counsel",Fribourg,active,adset,22,24,1.0909090909091,"Link Clicks",1,0.088455284552846,0.088455284552846,,,2020-09-01,2020-09-04
