"country","job","gender","clicks","impressions","datetime","ctr","time","impr_rel"
"CH","Truck Driver","male",1,53,2020-09-04 14:59:00,0.0188679245283019,0,0.803030303030303
"CH","Truck Driver","female",NA,13,2020-09-04 14:59:00,NA,0,0.196969696969697
"CH","Child care worker","female",NA,53,2020-09-04 14:59:00,NA,0,1
"CH","Nurse","female",NA,17,2020-09-04 14:59:00,NA,0,0.653846153846154
"CH","Nurse","male",NA,9,2020-09-04 14:59:00,NA,0,0.346153846153846
"CH","Hairdresser","female",NA,37,2020-09-04 14:59:00,NA,0,0.578125
"CH","Hairdresser","male",NA,27,2020-09-04 14:59:00,NA,0,0.421875
"CH","Truck Driver","female",NA,11,2020-09-04 15:05:00,NA,0.1,0.166666666666667
"CH","Truck Driver","undetermined",NA,2,2020-09-04 15:05:00,NA,0.1,0.0303030303030303
"CH","Truck Driver","male",1,53,2020-09-04 15:05:00,0.0188679245283019,0.1,0.803030303030303
"CH","Child care worker","female",NA,48,2020-09-04 15:05:00,NA,0.1,0.905660377358491
"CH","Child care worker","male",NA,5,2020-09-04 15:05:00,NA,0.1,0.0943396226415094
"CH","Nurse","female",NA,20,2020-09-04 15:05:00,NA,0.1,0.769230769230769
"CH","Nurse","male",NA,6,2020-09-04 15:05:00,NA,0.1,0.230769230769231
"CH","Machine Learning","male",NA,1,2020-09-04 15:05:00,NA,0.1,0.333333333333333
"CH","Machine Learning","female",NA,2,2020-09-04 15:05:00,NA,0.1,0.666666666666667
"CH","Legal Counsel","female",NA,11,2020-09-04 15:05:00,NA,0.1,0.523809523809524
"CH","Legal Counsel","male",NA,10,2020-09-04 15:05:00,NA,0.1,0.476190476190476
"CH","Hairdresser","female",NA,32,2020-09-04 15:05:00,NA,0.1,0.5
"CH","Hairdresser","male",NA,31,2020-09-04 15:05:00,NA,0.1,0.484375
"CH","Hairdresser","undetermined",NA,1,2020-09-04 15:05:00,NA,0.1,0.015625
"CH","Truck Driver","undetermined",NA,2,2020-09-04 15:10:00,NA,0.1833,0.015748031496063
"CH","Truck Driver","female",NA,17,2020-09-04 15:10:00,NA,0.1833,0.133858267716535
"CH","Truck Driver","male",1,108,2020-09-04 15:10:00,0.00925925925925926,0.1833,0.850393700787402
"CH","Child care worker","female",1,113,2020-09-04 15:10:00,0.00884955752212389,0.1833,0.904
"CH","Child care worker","male",NA,12,2020-09-04 15:10:00,NA,0.1833,0.096
"CH","Nurse","female",NA,58,2020-09-04 15:10:00,NA,0.1833,0.666666666666667
"CH","Nurse","male",NA,28,2020-09-04 15:10:00,NA,0.1833,0.32183908045977
"CH","Nurse","undetermined",NA,1,2020-09-04 15:10:00,NA,0.1833,0.0114942528735632
"CH","Machine Learning","male",NA,61,2020-09-04 15:10:00,NA,0.1833,0.628865979381443
"CH","Machine Learning","female",NA,34,2020-09-04 15:10:00,NA,0.1833,0.350515463917526
"CH","Machine Learning","undetermined",NA,2,2020-09-04 15:10:00,NA,0.1833,0.0206185567010309
"CH","Legal Counsel","female",NA,52,2020-09-04 15:10:00,NA,0.1833,0.525252525252525
"CH","Legal Counsel","male",NA,47,2020-09-04 15:10:00,NA,0.1833,0.474747474747475
"CH","Hairdresser","female",NA,69,2020-09-04 15:10:00,NA,0.1833,0.556451612903226
"CH","Hairdresser","male",NA,52,2020-09-04 15:10:00,NA,0.1833,0.419354838709677
"CH","Hairdresser","undetermined",1,3,2020-09-04 15:10:00,0.333333333333333,0.1833,0.0241935483870968
"CH","Truck Driver","male",2,156,2020-09-04 15:19:00,0.0128205128205128,0.3333,0.866666666666667
"CH","Truck Driver","undetermined",NA,5,2020-09-04 15:19:00,NA,0.3333,0.0277777777777778
"CH","Truck Driver","female",NA,19,2020-09-04 15:19:00,NA,0.3333,0.105555555555556
"CH","Child care worker","female",1,156,2020-09-04 15:19:00,0.00641025641025641,0.3333,0.912280701754386
"CH","Child care worker","male",NA,14,2020-09-04 15:19:00,NA,0.3333,0.0818713450292398
"CH","Child care worker","undetermined",NA,1,2020-09-04 15:19:00,NA,0.3333,0.00584795321637427
"CH","Nurse","female",NA,108,2020-09-04 15:19:00,NA,0.3333,0.705882352941177
"CH","Nurse","male",NA,42,2020-09-04 15:19:00,NA,0.3333,0.274509803921569
"CH","Nurse","undetermined",NA,3,2020-09-04 15:19:00,NA,0.3333,0.0196078431372549
"CH","Machine Learning","male",NA,107,2020-09-04 15:19:00,NA,0.3333,0.584699453551913
"CH","Machine Learning","female",NA,73,2020-09-04 15:19:00,NA,0.3333,0.398907103825137
"CH","Machine Learning","undetermined",NA,3,2020-09-04 15:19:00,NA,0.3333,0.0163934426229508
"CH","Legal Counsel","male",NA,86,2020-09-04 15:19:00,NA,0.3333,0.518072289156627
"CH","Legal Counsel","female",NA,80,2020-09-04 15:19:00,NA,0.3333,0.481927710843373
"CH","Hairdresser","undetermined",1,6,2020-09-04 15:19:00,0.166666666666667,0.3333,0.0315789473684211
"CH","Hairdresser","male",1,70,2020-09-04 15:19:00,0.0142857142857143,0.3333,0.368421052631579
"CH","Hairdresser","female",NA,114,2020-09-04 15:19:00,NA,0.3333,0.6
"CH","Truck Driver","male",2,222,2020-09-04 15:28:00,0.00900900900900901,0.4833,0.877470355731225
"CH","Truck Driver","undetermined",NA,5,2020-09-04 15:28:00,NA,0.4833,0.0197628458498024
"CH","Truck Driver","female",NA,26,2020-09-04 15:28:00,NA,0.4833,0.102766798418972
"CH","Child care worker","male",NA,19,2020-09-04 15:28:00,NA,0.4833,0.080168776371308
"CH","Child care worker","undetermined",NA,2,2020-09-04 15:28:00,NA,0.4833,0.00843881856540084
"CH","Child care worker","female",1,216,2020-09-04 15:28:00,0.00462962962962963,0.4833,0.911392405063291
"CH","Nurse","female",1,148,2020-09-04 15:28:00,0.00675675675675676,0.4833,0.663677130044843
"CH","Nurse","male",1,72,2020-09-04 15:28:00,0.0138888888888889,0.4833,0.322869955156951
"CH","Nurse","undetermined",NA,3,2020-09-04 15:28:00,NA,0.4833,0.0134529147982063
"CH","Machine Learning","male",1,160,2020-09-04 15:28:00,0.00625,0.4833,0.594795539033457
"CH","Machine Learning","female",NA,105,2020-09-04 15:28:00,NA,0.4833,0.390334572490706
"CH","Machine Learning","undetermined",NA,4,2020-09-04 15:28:00,NA,0.4833,0.0148698884758364
"CH","Legal Counsel","male",NA,143,2020-09-04 15:28:00,NA,0.4833,0.554263565891473
"CH","Legal Counsel","female",NA,115,2020-09-04 15:28:00,NA,0.4833,0.445736434108527
"CH","Hairdresser","male",3,96,2020-09-04 15:28:00,0.03125,0.4833,0.390243902439024
"CH","Hairdresser","female",2,144,2020-09-04 15:28:00,0.0138888888888889,0.4833,0.585365853658537
"CH","Hairdresser","undetermined",1,6,2020-09-04 15:28:00,0.166666666666667,0.4833,0.024390243902439
"CH","Truck Driver","male",5,290,2020-09-04 15:40:00,0.0172413793103448,0.6833,0.892307692307692
"CH","Truck Driver","undetermined",NA,5,2020-09-04 15:40:00,NA,0.6833,0.0153846153846154
"CH","Truck Driver","female",1,30,2020-09-04 15:40:00,0.0333333333333333,0.6833,0.0923076923076923
"CH","Child care worker","male",NA,23,2020-09-04 15:40:00,NA,0.6833,0.0779661016949153
"CH","Child care worker","undetermined",NA,4,2020-09-04 15:40:00,NA,0.6833,0.0135593220338983
"CH","Child care worker","female",1,268,2020-09-04 15:40:00,0.00373134328358209,0.6833,0.908474576271186
"CH","Nurse","female",2,193,2020-09-04 15:40:00,0.0103626943005181,0.6833,0.654237288135593
"CH","Nurse","male",1,100,2020-09-04 15:40:00,0.01,0.6833,0.338983050847458
"CH","Nurse","undetermined",NA,2,2020-09-04 15:40:00,NA,0.6833,0.00677966101694915
"CH","Machine Learning","male",6,190,2020-09-04 15:40:00,0.0315789473684211,0.6833,0.533707865168539
"CH","Machine Learning","female",1,160,2020-09-04 15:40:00,0.00625,0.6833,0.449438202247191
"CH","Machine Learning","undetermined",NA,6,2020-09-04 15:40:00,NA,0.6833,0.0168539325842697
"CH","Legal Counsel","male",NA,184,2020-09-04 15:40:00,NA,0.6833,0.591639871382637
"CH","Legal Counsel","female",NA,127,2020-09-04 15:40:00,NA,0.6833,0.408360128617363
"CH","Hairdresser","male",3,126,2020-09-04 15:40:00,0.0238095238095238,0.6833,0.418604651162791
"CH","Hairdresser","female",3,170,2020-09-04 15:40:00,0.0176470588235294,0.6833,0.564784053156146
"CH","Hairdresser","undetermined",1,5,2020-09-04 15:40:00,0.2,0.6833,0.0166112956810631
"CH","Truck Driver","male",9,344,2020-09-04 15:48:00,0.0261627906976744,0.8167,0.905263157894737
"CH","Truck Driver","undetermined",NA,5,2020-09-04 15:48:00,NA,0.8167,0.0131578947368421
"CH","Truck Driver","female",1,31,2020-09-04 15:48:00,0.032258064516129,0.8167,0.0815789473684211
"CH","Child care worker","male",NA,23,2020-09-04 15:48:00,NA,0.8167,0.0668604651162791
"CH","Child care worker","undetermined",NA,4,2020-09-04 15:48:00,NA,0.8167,0.0116279069767442
"CH","Child care worker","female",1,317,2020-09-04 15:48:00,0.00315457413249211,0.8167,0.921511627906977
"CH","Nurse","female",2,227,2020-09-04 15:48:00,0.00881057268722467,0.8167,0.643059490084986
"CH","Nurse","male",1,124,2020-09-04 15:48:00,0.00806451612903226,0.8167,0.351274787535411
"CH","Nurse","undetermined",NA,2,2020-09-04 15:48:00,NA,0.8167,0.0056657223796034
"CH","Machine Learning","male",6,235,2020-09-04 15:48:00,0.025531914893617,0.8167,0.547785547785548
"CH","Machine Learning","female",1,188,2020-09-04 15:48:00,0.00531914893617021,0.8167,0.438228438228438
"CH","Machine Learning","undetermined",NA,6,2020-09-04 15:48:00,NA,0.8167,0.013986013986014
"CH","Legal Counsel","male",NA,219,2020-09-04 15:48:00,NA,0.8167,0.587131367292225
"CH","Legal Counsel","female",1,154,2020-09-04 15:48:00,0.00649350649350649,0.8167,0.412868632707775
"CH","Hairdresser","male",3,156,2020-09-04 15:48:00,0.0192307692307692,0.8167,0.419354838709677
"CH","Hairdresser","female",5,210,2020-09-04 15:48:00,0.0238095238095238,0.8167,0.564516129032258
"CH","Hairdresser","undetermined",1,6,2020-09-04 15:48:00,0.166666666666667,0.8167,0.0161290322580645
"CH","Truck Driver","male",12,411,2020-09-04 15:58:00,0.0291970802919708,0.9833,0.90929203539823
"CH","Truck Driver","undetermined",NA,6,2020-09-04 15:58:00,NA,0.9833,0.0132743362831858
"CH","Truck Driver","female",1,35,2020-09-04 15:58:00,0.0285714285714286,0.9833,0.0774336283185841
"CH","Child care worker","undetermined",NA,4,2020-09-04 15:58:00,NA,0.9833,0.0100250626566416
"CH","Child care worker","male",NA,29,2020-09-04 15:58:00,NA,0.9833,0.0726817042606516
"CH","Child care worker","female",3,366,2020-09-04 15:58:00,0.00819672131147541,0.9833,0.917293233082707
"CH","Nurse","female",4,279,2020-09-04 15:58:00,0.014336917562724,0.9833,0.653395784543325
"CH","Nurse","male",1,146,2020-09-04 15:58:00,0.00684931506849315,0.9833,0.34192037470726
