"country","job","gender","clicks","impressions","ctr","datetime","time","impr_rel"
"CH","Child care worker","male",0,1,0,2020-09-02 20:16:45,0,0.5
"CH","Nurse","undetermined",0,6,0,2020-09-02 20:16:45,0,0.206896551724138
"CH","Hairdresser","male",0,1,0,2020-09-02 20:16:45,0,0.333333333333333
"CH","Hairdresser","undetermined",0,2,0,2020-09-02 20:16:45,0,0.666666666666667
"CH","Nurse","female",0,11,0,2020-09-02 20:16:45,0,0.379310344827586
"CH","Child care worker","undetermined",0,1,0,2020-09-02 20:16:45,0,0.5
"CH","Nurse","male",0,12,0,2020-09-02 20:16:45,0,0.413793103448276
"CH","Truck driver","male",0,4,0,2020-09-02 20:16:45,0,1
"CH","Child care worker","male",0,5,0,2020-09-02 20:20:07,0.0563613888952467,0.217391304347826
"CH","Nurse","undetermined",1,28,0.0357,2020-09-02 20:20:07,0.0563613888952467,0.311111111111111
"CH","Truck driver","female",0,1,0,2020-09-02 20:20:07,0.0563613888952467,0.142857142857143
"CH","Hairdresser","male",0,6,0,2020-09-02 20:20:07,0.0563613888952467,0.428571428571429
"CH","Hairdresser","female",0,2,0,2020-09-02 20:20:07,0.0563613888952467,0.142857142857143
"CH","Hairdresser","undetermined",0,6,0,2020-09-02 20:20:07,0.0563613888952467,0.428571428571429
"CH","Child care worker","female",2,9,0.2222,2020-09-02 20:20:07,0.0563613888952467,0.391304347826087
"CH","Nurse","female",1,35,0.0286,2020-09-02 20:20:07,0.0563613888952467,0.388888888888889
"CH","Child care worker","undetermined",0,9,0,2020-09-02 20:20:07,0.0563613888952467,0.391304347826087
"CH","Nurse","male",0,27,0,2020-09-02 20:20:07,0.0563613888952467,0.3
"CH","Truck driver","male",0,6,0,2020-09-02 20:20:07,0.0563613888952467,0.857142857142857
"CH","Child care worker","undetermined",0,66,0,2020-09-02 20:22:01,0.0878816666867998,0.425806451612903
"CH","Nurse","male",0,64,0,2020-09-02 20:22:01,0.0878816666867998,0.274678111587983
"CH","Truck driver","male",4,28,0.1429,2020-09-02 20:22:01,0.0878816666867998,0.474576271186441
"CH","Hairdresser","undetermined",0,52,0,2020-09-02 20:22:01,0.0878816666867998,0.320987654320988
"CH","Child care worker","female",6,50,0.12,2020-09-02 20:22:01,0.0878816666867998,0.32258064516129
"CH","Nurse","female",3,98,0.0306,2020-09-02 20:22:01,0.0878816666867998,0.420600858369099
"CH","Child care worker","male",1,39,0.0256,2020-09-02 20:22:01,0.0878816666867998,0.251612903225806
"CH","Nurse","undetermined",3,71,0.0423,2020-09-02 20:22:01,0.0878816666867998,0.304721030042918
"CH","Truck driver","female",0,10,0,2020-09-02 20:22:01,0.0878816666867998,0.169491525423729
"CH","Truck driver","undetermined",1,21,0.0476,2020-09-02 20:22:01,0.0878816666867998,0.355932203389831
"CH","Hairdresser","male",2,49,0.0408,2020-09-02 20:22:01,0.0878816666867998,0.302469135802469
"CH","Hairdresser","female",0,61,0,2020-09-02 20:22:01,0.0878816666867998,0.376543209876543
"CH","Hairdresser","undetermined",2,583,0.0034,2020-09-02 20:33:41,0.282418333424462,0.335829493087558
"CH","Child care worker","undetermined",2,322,0.0062,2020-09-02 20:33:41,0.282418333424462,0.438095238095238
"CH","Nurse","male",0,246,0,2020-09-02 20:33:41,0.282418333424462,0.298906439854192
"CH","Truck driver","male",7,589,0.0119,2020-09-02 20:33:41,0.282418333424462,0.383963494132986
"CH","Child care worker","male",1,168,0.006,2020-09-02 20:33:41,0.282418333424462,0.228571428571429
"CH","Nurse","undetermined",3,273,0.011,2020-09-02 20:33:41,0.282418333424462,0.331713244228433
