,,gender,,,,,
job,Data,female,male,undetermined,Total Result,,
Child care worker,Sum - impressions,1930,2184,1923,6037,0.469129800680603,
,Sum - ctr,0.52%,0.41%,0.36%,1.29%,0.559139784946237,0.211538461538462
Hairdresser,Sum - impressions,1352,1951,1592,4895,0.409324856191341,-0.443047337278107
,Sum - ctr,0.44%,0.46%,0.38%,1.28%,0.488888888888889,-0.045454545454545
Legal Counsel,Sum - impressions,1378,1742,1289,4409,0.441666666666667,-0.264150943396226
,Sum - ctr,0.36%,0.57%,0.62%,1.55%,0.387096774193548,-0.583333333333333
Machine Learning,Sum - impressions,1709,2347,1813,5869,0.421351084812623,-0.373317729666472
,Sum - ctr,0.59%,0.38%,0.39%,1.36%,0.608247422680412,0.35593220338983
Nurse,Sum - impressions,1506,2139,1843,5488,0.413168724279835,-0.420318725099602
,Sum - ctr,1.00%,0.37%,0.33%,1.70%,0.72992700729927,0.63
Truck driver,Sum - impressions,1816,2334,2082,6232,0.437590361445783,-0.285242290748899
,Sum - ctr,0.66%,0.43%,0.19%,1.28%,0.605504587155963,0.348484848484848
Total Sum - impressions,,9691,12697,10542,32930,0.432865820975523,-0.31018470746053
Total Sum - ctr,,3.57%,2.62%,2.27%,8.46%,0.576736672051696,0.266106442577031
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
 ,impr f,ctr diff,,,,,
Hairdresser,0.409324856191341,-0.045454545454545,,,,,
Legal Counsel,0.441666666666667,-0.583333333333333,,,,,
Machine Learning,0.421351084812623,0.35593220338983,,,,,
Nurse,0.413168724279835,0.63,,,,,
Preschool teacher,0.469129800680603,0.211538461538462,,,,,
Truck Driver,0.437590361445783,0.348484848484848,,,,,
