"country","job","gender","clicks","impressions","datetime","ctr","time","impr_rel"
"FR","Nurse","male",NA,12,2020-09-01 11:13:00,NA,0,0.48
"FR","Nurse","female",NA,13,2020-09-01 11:13:00,NA,0,0.52
"FR","Truck Driver","male",1,14,2020-09-01 11:13:00,0.0714285714285714,0,0.7
"FR","Truck Driver","female",NA,6,2020-09-01 11:13:00,NA,0,0.3
"FR","Nurse","male",NA,13,2020-09-01 11:30:00,NA,0.2833,0.5
"FR","Nurse","female",NA,13,2020-09-01 11:30:00,NA,0.2833,0.5
"FR","Truck Driver","male",1,10,2020-09-01 11:30:00,0.1,0.2833,0.5
"FR","Truck Driver","female",1,10,2020-09-01 11:30:00,0.1,0.2833,0.5
"FR","Nurse","male",NA,13,2020-09-01 11:52:00,NA,0.65,0.5
"FR","Nurse","female",NA,13,2020-09-01 11:52:00,NA,0.65,0.5
"FR","Truck Driver","male",1,14,2020-09-01 11:52:00,0.0714285714285714,0.65,0.518518518518518
"FR","Truck Driver","female",1,13,2020-09-01 11:52:00,0.0769230769230769,0.65,0.481481481481481
"FR","Hairdresser","male",1,93,2020-09-01 12:04:00,0.010752688172043,0.85,1
"FR","Legal Counsel","female",NA,30,2020-09-01 12:04:00,NA,0.85,1
"FR","Machine Learning","male",NA,36,2020-09-01 12:04:00,NA,0.85,1
"FR","Nurse","male",NA,37,2020-09-01 12:04:00,NA,0.85,0.493333333333333
"FR","Nurse","female",NA,38,2020-09-01 12:04:00,NA,0.85,0.506666666666667
"FR","Truck Driver","male",6,136,2020-09-01 12:04:00,0.0441176470588235,0.85,0.829268292682927
"FR","Truck Driver","female",3,28,2020-09-01 12:04:00,0.107142857142857,0.85,0.170731707317073
"FR","Hairdresser","female",1,50,2020-09-01 12:13:00,0.02,1,0.537634408602151
"FR","Hairdresser","male",1,43,2020-09-01 12:13:00,0.0232558139534884,1,0.462365591397849
"FR","Legal Counsel","female",NA,18,2020-09-01 12:13:00,NA,1,0.6
"FR","Legal Counsel","male",NA,12,2020-09-01 12:13:00,NA,1,0.4
"FR","Machine Learning","male",3,19,2020-09-01 12:13:00,0.157894736842105,1,0.527777777777778
"FR","Machine Learning","female",2,17,2020-09-01 12:13:00,0.117647058823529,1,0.472222222222222
"FR","Nurse","female",1,44,2020-09-01 12:13:00,0.0227272727272727,1,0.586666666666667
"FR","Nurse","male",NA,31,2020-09-01 12:13:00,NA,1,0.413333333333333
"FR","Child care worker","female",3,62,2020-09-01 12:13:00,0.0483870967741935,1,0.849315068493151
"FR","Child care worker","male",NA,11,2020-09-01 12:13:00,NA,1,0.150684931506849
"FR","Truck Driver","male",8,137,2020-09-01 12:13:00,0.0583941605839416,1,0.835365853658537
"FR","Truck Driver","female",3,27,2020-09-01 12:13:00,0.111111111111111,1,0.164634146341463
"FR","Hairdresser","female",2,96,2020-09-01 12:17:00,0.0208333333333333,1.0667,0.516129032258065
"FR","Hairdresser","male",4,88,2020-09-01 12:17:00,0.0454545454545455,1.0667,0.473118279569892
"FR","Hairdresser","undetermined",NA,2,2020-09-01 12:17:00,NA,1.0667,0.010752688172043
"FR","Legal Counsel","male",1,77,2020-09-01 12:17:00,0.012987012987013,1.0667,0.566176470588235
"FR","Legal Counsel","female",NA,56,2020-09-01 12:17:00,NA,1.0667,0.411764705882353
"FR","Legal Counsel","undetermined",NA,3,2020-09-01 12:17:00,NA,1.0667,0.0220588235294118
"FR","Machine Learning","male",4,56,2020-09-01 12:17:00,0.0714285714285714,1.0667,0.509090909090909
"FR","Machine Learning","female",2,54,2020-09-01 12:17:00,0.037037037037037,1.0667,0.490909090909091
"FR","Nurse","female",2,104,2020-09-01 12:17:00,0.0192307692307692,1.0667,0.608187134502924
"FR","Nurse","male",NA,67,2020-09-01 12:17:00,NA,1.0667,0.391812865497076
"FR","Child care worker","female",7,127,2020-09-01 12:17:00,0.0551181102362205,1.0667,0.852348993288591
"FR","Child care worker","male",NA,22,2020-09-01 12:17:00,NA,1.0667,0.147651006711409
"FR","Truck Driver","male",10,235,2020-09-01 12:17:00,0.0425531914893617,1.0667,0.851449275362319
"FR","Truck Driver","female",3,41,2020-09-01 12:17:00,0.0731707317073171,1.0667,0.148550724637681
"FR","Hairdresser","female",5,147,2020-09-01 12:24:00,0.0340136054421769,1.1833,0.561068702290076
"FR","Hairdresser","male",7,114,2020-09-01 12:24:00,0.0614035087719298,1.1833,0.435114503816794
"FR","Hairdresser","undetermined",NA,1,2020-09-01 12:24:00,NA,1.1833,0.00381679389312977
"FR","Legal Counsel","undetermined",NA,2,2020-09-01 12:24:00,NA,1.1833,0.0087719298245614
"FR","Legal Counsel","female",NA,91,2020-09-01 12:24:00,NA,1.1833,0.399122807017544
"FR","Legal Counsel","male",3,135,2020-09-01 12:24:00,0.0222222222222222,1.1833,0.592105263157895
"FR","Machine Learning","female",4,95,2020-09-01 12:24:00,0.0421052631578947,1.1833,0.516304347826087
"FR","Machine Learning","male",6,88,2020-09-01 12:24:00,0.0681818181818182,1.1833,0.478260869565217
"FR","Machine Learning","undetermined",NA,1,2020-09-01 12:24:00,NA,1.1833,0.00543478260869565
"FR","Nurse","female",4,148,2020-09-01 12:24:00,0.027027027027027,1.1833,0.596774193548387
"FR","Nurse","male",NA,96,2020-09-01 12:24:00,NA,1.1833,0.387096774193548
"FR","Nurse","undetermined",NA,4,2020-09-01 12:24:00,NA,1.1833,0.0161290322580645
"FR","Child care worker","female",11,197,2020-09-01 12:24:00,0.0558375634517767,1.1833,0.864035087719298
"FR","Child care worker","male",NA,29,2020-09-01 12:24:00,NA,1.1833,0.12719298245614
"FR","Child care worker","undetermined",NA,2,2020-09-01 12:24:00,NA,1.1833,0.0087719298245614
"FR","Truck Driver","female",3,49,2020-09-01 12:24:00,0.0612244897959184,1.1833,0.13031914893617
"FR","Truck Driver","male",16,327,2020-09-01 12:24:00,0.0489296636085627,1.1833,0.86968085106383
"FR","Hairdresser","female",31,492,2020-09-01 13:16:00,0.0630081300813008,2.05,0.632390745501285
"FR","Hairdresser","undetermined",NA,8,2020-09-01 13:16:00,NA,2.05,0.0102827763496144
"FR","Hairdresser","male",14,278,2020-09-01 13:16:00,0.0503597122302158,2.05,0.3573264781491
"FR","Legal Counsel","female",3,308,2020-09-01 13:16:00,0.00974025974025974,2.05,0.403141361256544
"FR","Legal Counsel","male",5,448,2020-09-01 13:16:00,0.0111607142857143,2.05,0.586387434554974
"FR","Legal Counsel","undetermined",NA,8,2020-09-01 13:16:00,NA,2.05,0.0104712041884817
"FR","Machine Learning","undetermined",NA,6,2020-09-01 13:16:00,NA,2.05,0.00977198697068404
"FR","Machine Learning","male",15,298,2020-09-01 13:16:00,0.0503355704697987,2.05,0.485342019543974
"FR","Machine Learning","female",7,310,2020-09-01 13:16:00,0.0225806451612903,2.05,0.504885993485342
"FR","Nurse","female",12,523,2020-09-01 13:16:00,0.0229445506692161,2.05,0.657035175879397
"FR","Nurse","male",3,263,2020-09-01 13:16:00,0.0114068441064639,2.05,0.330402010050251
"FR","Nurse","undetermined",NA,10,2020-09-01 13:16:00,NA,2.05,0.0125628140703518
"FR","Child care worker","female",30,563,2020-09-01 13:16:00,0.0532859680284192,2.05,0.878315132605304
"FR","Child care worker","male",3,72,2020-09-01 13:16:00,0.0416666666666667,2.05,0.112324492979719
"FR","Child care worker","undetermined",NA,6,2020-09-01 13:16:00,NA,2.05,0.0093603744149766
"FR","Truck Driver","male",56,911,2020-09-01 13:16:00,0.0614709110867179,2.05,0.857008466603951
"FR","Truck Driver","female",5,147,2020-09-01 13:16:00,0.0340136054421769,2.05,0.138287864534337
"FR","Truck Driver","undetermined",NA,5,2020-09-01 13:16:00,NA,2.05,0.00470366886171214
"FR","Hairdresser","female",36,527,2020-09-01 13:27:00,0.0683111954459203,2.2333,0.624407582938389
"FR","Hairdresser","male",18,307,2020-09-01 13:27:00,0.0586319218241042,2.2333,0.363744075829384
"FR","Hairdresser","undetermined",NA,10,2020-09-01 13:27:00,NA,2.2333,0.0118483412322275
"FR","Legal Counsel","undetermined",NA,8,2020-09-01 13:27:00,NA,2.2333,0.00871459694989107
"FR","Legal Counsel","female",4,371,2020-09-01 13:27:00,0.0107816711590297,2.2333,0.404139433551198
"FR","Legal Counsel","male",6,539,2020-09-01 13:27:00,0.0111317254174397,2.2333,0.587145969498911
"FR","Machine Learning","female",8,342,2020-09-01 13:27:00,0.0233918128654971,2.2333,0.494219653179191
"FR","Machine Learning","undetermined",NA,6,2020-09-01 13:27:00,NA,2.2333,0.00867052023121387
"FR","Machine Learning","male",16,344,2020-09-01 13:27:00,0.0465116279069767,2.2333,0.497109826589595
"FR","Nurse","male",3,275,2020-09-01 13:27:00,0.0109090909090909,2.2333,0.318287037037037
"FR","Nurse","undetermined",NA,11,2020-09-01 13:27:00,NA,2.2333,0.0127314814814815
"FR","Nurse","female",15,578,2020-09-01 13:27:00,0.0259515570934256,2.2333,0.668981481481482
"FR","Child care worker","female",32,622,2020-09-01 13:27:00,0.0514469453376206,2.2333,0.871148459383754
"FR","Child care worker","male",3,84,2020-09-01 13:27:00,0.0357142857142857,2.2333,0.117647058823529
"FR","Child care worker","undetermined",NA,8,2020-09-01 13:27:00,NA,2.2333,0.0112044817927171
"FR","Truck Driver","undetermined",NA,5,2020-09-01 13:27:00,NA,2.2333,0.00431034482758621
"FR","Truck Driver","female",6,151,2020-09-01 13:27:00,0.0397350993377483,2.2333,0.130172413793103
"FR","Truck Driver","male",65,1004,2020-09-01 13:27:00,0.0647410358565737,2.2333,0.86551724137931
"FR","Hairdresser","female",39,572,2020-09-01 13:37:00,0.0681818181818182,2.4,0.623773173391494
"FR","Hairdresser","male",22,332,2020-09-01 13:37:00,0.0662650602409639,2.4,0.362050163576881
"FR","Hairdresser","undetermined",NA,13,2020-09-01 13:37:00,NA,2.4,0.0141766630316249
"FR","Legal Counsel","female",4,405,2020-09-01 13:37:00,0.00987654320987654,2.4,0.400197628458498
"FR","Legal Counsel","male",7,599,2020-09-01 13:37:00,0.011686143572621,2.4,0.591897233201581
"FR","Legal Counsel","undetermined",NA,8,2020-09-01 13:37:00,NA,2.4,0.00790513833992095
"FR","Machine Learning","male",17,382,2020-09-01 13:37:00,0.0445026178010471,2.4,0.499346405228758
"FR","Machine Learning","female",8,374,2020-09-01 13:37:00,0.0213903743315508,2.4,0.488888888888889
"FR","Machine Learning","undetermined",NA,9,2020-09-01 13:37:00,NA,2.4,0.0117647058823529
"FR","Nurse","undetermined",NA,13,2020-09-01 13:37:00,NA,2.4,0.0134297520661157
"FR","Nurse","female",16,655,2020-09-01 13:37:00,0.0244274809160305,2.4,0.676652892561983
"FR","Nurse","male",3,300,2020-09-01 13:37:00,0.01,2.4,0.309917355371901
"FR","Child care worker","female",41,689,2020-09-01 13:37:00,0.0595065312046444,2.4,0.877707006369427
"FR","Child care worker","undetermined",NA,8,2020-09-01 13:37:00,NA,2.4,0.0101910828025478
"FR","Child care worker","male",4,88,2020-09-01 13:37:00,0.0454545454545455,2.4,0.112101910828025
"FR","Truck Driver","female",7,168,2020-09-01 13:37:00,0.0416666666666667,2.4,0.13125
"FR","Truck Driver","male",72,1105,2020-09-01 13:37:00,0.065158371040724,2.4,0.86328125
"FR","Truck Driver","undetermined",NA,7,2020-09-01 13:37:00,NA,2.4,0.00546875
"FR","Hairdresser","female",45,620,2020-09-01 13:47:00,0.0725806451612903,2.5667,0.622489959839357
"FR","Hairdresser","male",24,362,2020-09-01 13:47:00,0.0662983425414365,2.5667,0.363453815261044
"FR","Hairdresser","undetermined",NA,14,2020-09-01 13:47:00,NA,2.5667,0.0140562248995984
"FR","Legal Counsel","undetermined",NA,8,2020-09-01 13:47:00,NA,2.5667,0.00722673893405601
"FR","Legal Counsel","female",6,450,2020-09-01 13:47:00,0.0133333333333333,2.5667,0.40650406504065
"FR","Legal Counsel","male",9,649,2020-09-01 13:47:00,0.0138674884437596,2.5667,0.586269196025294
"FR","Machine Learning","female",8,414,2020-09-01 13:47:00,0.0193236714975845,2.5667,0.485915492957746
"FR","Machine Learning","undetermined",NA,11,2020-09-01 13:47:00,NA,2.5667,0.0129107981220657
"FR","Machine Learning","male",17,427,2020-09-01 13:47:00,0.0398126463700234,2.5667,0.501173708920188
"FR","Nurse","male",4,317,2020-09-01 13:47:00,0.0126182965299685,2.5667,0.301904761904762
"FR","Nurse","undetermined",NA,13,2020-09-01 13:47:00,NA,2.5667,0.0123809523809524
"FR","Nurse","female",16,720,2020-09-01 13:47:00,0.0222222222222222,2.5667,0.685714285714286
"FR","Child care worker","female",44,765,2020-09-01 13:47:00,0.057516339869281,2.5667,0.878300803673938
"FR","Child care worker","male",5,99,2020-09-01 13:47:00,0.0505050505050505,2.5667,0.113662456946039
"FR","Child care worker","undetermined",NA,7,2020-09-01 13:47:00,NA,2.5667,0.00803673938002296
"FR","Truck Driver","undetermined",NA,7,2020-09-01 13:47:00,NA,2.5667,0.00509832483612527
