"country","job","gender","clicks","impressions","ctr","datetime","time","impr_rel"
"FR","Child care worker","undetermined",0,1,0,2020-09-01 16:15:19,0,1
"FR","Machine Learning","undetermined",0,1,0,2020-09-01 16:21:58,0.110591388874584,1
"FR","Child care worker","undetermined",0,2,0,2020-09-01 16:21:58,0.110591388874584,1
"FR","Hairdresser","undetermined",0,1,0,2020-09-01 16:21:58,0.110591388874584,1
"FR","Machine Learning","undetermined",0,1,0,2020-09-01 16:30:27,0.252174166705873,1
"FR","Child care worker","undetermined",0,2,0,2020-09-01 16:30:27,0.252174166705873,1
"FR","Hairdresser","undetermined",0,1,0,2020-09-01 16:30:27,0.252174166705873,1
"FR","Machine Learning","undetermined",0,1,0,2020-09-01 16:45:41,0.505924999978807,1
"FR","Child care worker","undetermined",0,2,0,2020-09-01 16:45:41,0.505924999978807,1
"FR","Hairdresser","undetermined",0,4,0,2020-09-01 16:45:41,0.505924999978807,1
"FR","Child care worker","undetermined",0,2,0,2020-09-01 17:00:52,0.759164999988344,1
"FR","Hairdresser","undetermined",0,4,0,2020-09-01 17:00:52,0.759164999988344,1
"FR","Machine Learning","undetermined",0,2,0,2020-09-01 17:00:52,0.759164999988344,1
"FR","Machine Learning","undetermined",0,3,0,2020-09-01 17:15:34,1.00396805551317,1
"FR","Child care worker","undetermined",0,2,0,2020-09-01 17:15:34,1.00396805551317,1
"FR","Hairdresser","undetermined",0,4,0,2020-09-01 17:15:34,1.00396805551317,1
"FR","Nurse","undetermined",0,2,0,2020-09-01 17:15:34,1.00396805551317,1
"FR","Child care worker","undetermined",0,2,0,2020-09-01 17:30:06,1.24618361108833,1
"FR","Hairdresser","undetermined",0,4,0,2020-09-01 17:30:06,1.24618361108833,1
"FR","Nurse","undetermined",0,2,0,2020-09-01 17:30:06,1.24618361108833,1
"FR","Machine Learning","undetermined",0,3,0,2020-09-01 17:30:06,1.24618361108833,1
"FR","Child care worker","undetermined",0,3,0,2020-09-01 17:45:30,1.50290638883909,1
"FR","Hairdresser","undetermined",0,6,0,2020-09-01 17:45:30,1.50290638883909,1
"FR","Nurse","undetermined",0,2,0,2020-09-01 17:45:30,1.50290638883909,1
"FR","Truck driver","undetermined",0,1,0,2020-09-01 17:45:30,1.50290638883909,0.333333333333333
"FR","Machine Learning","undetermined",0,4,0,2020-09-01 17:45:30,1.50290638883909,1
"FR","Truck driver","male",0,2,0,2020-09-01 17:45:30,1.50290638883909,0.666666666666667
"FR","Machine Learning","undetermined",0,4,0,2020-09-01 18:00:45,1.75720083329413,0.571428571428571
"FR","Truck driver","male",0,2,0,2020-09-01 18:00:45,1.75720083329413,0.666666666666667
"FR","Machine Learning","male",0,3,0,2020-09-01 18:00:45,1.75720083329413,0.428571428571429
