country,job,gender,impr_rel,Y,size
Germany,Truck driver,female,0.391734052111411,6,1
Spain,Truck driver,female,0.437590361445783,6,1
Switzerland,Truck driver,female,0.457079970652971,6,1
France,Truck driver,female,0.459284890426759,6,1
Poland,Truck driver,female,0.587844254510921,6,1
Spain,Nurse,female,0.413168724279835,2,1
Germany,Nurse,female,0.438979337600412,2,1
France,Nurse,female,0.503981797497156,2,1
Poland,Nurse,female,0.510558423275458,2,1
Switzerland,Nurse,female,0.54468802698145,2,1
Spain,Machine Learning,female,0.421351084812623,5,1
France,Machine Learning,female,0.51934583167132,5,1
Poland,Machine Learning,female,0.555082339579784,5,1
Switzerland,Machine Learning,female,0.589516129032258,5,1
Germany,Legal Counsel,female,0.423047729606644,4,1
Spain,Legal Counsel,female,0.441666666666667,4,1
France,Legal Counsel,female,0.544541369283637,4,1
Poland,Legal Counsel,female,0.546992611007527,4,1
Switzerland,Legal Counsel,female,0.635077793493635,4,1
Spain,Hairdresser,female,0.409324856191341,3,1
Germany,Hairdresser,female,0.484869359838607,3,1
Poland,Hairdresser,female,0.563048383053397,3,1
Switzerland,Hairdresser,female,0.610670511896179,3,1
France,Hairdresser,female,0.620076991412496,3,1
Spain,Child care worker,female,0.469129800680603,1,1
Germany,Child care worker,female,0.485001874765654,1,1
France,Child care worker,female,0.544536271808999,1,1
Poland,Child care worker,female,0.564358452138493,1,1
Switzerland,Child care worker,female,0.585526315789474,1,1
